effektivitet,djup,ISO8601,kvalitet,sover,vaken
"96,2",02:41:48,2022-10-31 00:00:00,05:04:55,07:36:00,00:18:00
"90,4",03:15:23,2022-11-01 00:00:00,06:06:31,08:31:00,00:54:00
"95,8",01:00:00,2022-11-02 00:00:00,04:44:37,06:30:00,00:17:00
"98,1",03:18:02,2022-11-03 00:00:00,05:55:48,07:37:00,00:09:00
"95,8",01:32:13,2022-11-04 00:00:00,05:00:25,06:55:00,00:18:00
"100,0",02:59:39,2022-11-05 00:00:00,05:57:55,08:29:00,00:00:00
"100,0",02:00:38,2022-11-06 00:00:00,04:22:56,06:17:00,00:00:00
"95,3",03:56:09,2022-11-07 00:00:00,06:53:49,09:11:00,00:27:00
"100,0",03:07:04,2022-11-08 00:00:00,06:21:11,08:50:00,00:00:00
"95,1",02:19:05,2022-11-09 00:00:00,06:05:37,08:30:00,00:26:00
"92,2",03:27:45,2022-11-10 00:00:00,05:51:05,07:40:00,00:39:00
"98,1",02:51:32,2022-11-11 00:00:00,06:39:00,09:37:00,00:11:00
"98,2",02:02:51,2022-11-12 00:00:00,05:19:21,07:10:00,00:08:00
"100,0",03:00:22,2022-11-13 00:00:00,05:13:44,08:01:00,00:00:00
"96,9",02:45:20,2022-11-14 00:00:00,05:37:40,08:16:00,00:16:00
"77,8",02:46:38,2022-11-15 00:00:00,05:14:11,06:49:00,01:57:00
"94,2",01:02:34,2022-11-16 00:00:00,04:37:28,06:31:00,00:24:00
"89,7",03:16:51,2022-11-17 00:00:00,06:11:36,08:50:00,01:01:00
"100,0",02:29:38,2022-11-18 00:00:00,04:36:34,06:44:00,00:00:00
"91,4",03:16:24,2022-11-19 00:00:00,05:52:26,07:03:00,00:40:00
"94,8",02:26:08,2022-11-20 00:00:00,05:17:47,07:33:00,00:25:00
"92,2",02:45:41,2022-11-21 00:00:00,05:40:33,08:02:00,00:41:00
"94,4",03:05:18,2022-11-22 00:00:00,06:09:59,08:45:00,00:31:00
